"Slug","Common Name","Aliases","Image","Image:alt","Hint 1","Hint 2","Hint 3","Fun Facts","Category","Image Attribution"
"octopus","Octopus","common octopus, Octopus vulgaris","https://upload.wikimedia.org/wikipedia/commons/7/72/Common_octopus.jpg","An octopus crawling across the seafloor, its arms spread across the rocks.","I have three hearts and blue blood.","I can squeeze my entire boneless body through any gap bigger than my beak.","I have eight arms lined with suckers, and I'm famous for being one of the smartest invertebrates alive.","An octopus can change both the color and texture of its skin in less than a second to blend almost perfectly into its surroundings.","Marine","Photo: Martijn Klijnstra, CC BY-SA 4.0, Wikimedia Commons"
"flamingo","Flamingo","American flamingo, Phoenicopterus ruber","https://upload.wikimedia.org/wikipedia/commons/7/72/American_flamingo_%28Phoenicopterus_ruber%29.JPG","A bright pink flamingo standing on one leg in shallow water.","The pink or reddish color of my feathers actually comes from what I eat.","I usually stand and sleep balanced on just one leg.","I'm known for my long legs, curved neck, and bright pink feathers, and I usually live in large flocks.","Flamingos get their pink color from pigments in the algae and shrimp they eat, and in captivity they can turn pale without the right diet.","Bird","Photo: Charles J. Sharp, CC BY-SA 4.0, Wikimedia Commons"
"monarch-butterfly","Monarch Butterfly","Danaus plexippus, butterfly","https://upload.wikimedia.org/wikipedia/commons/7/7a/Monarch_Butterfly_Closeup.jpg","A close-up of a monarch butterfly's orange and black wings.","I make one of the longest migrations of any insect on Earth.","My caterpillar stage eats almost nothing but milkweed, which makes me toxic to most predators.","I'm an orange-and-black butterfly, and no single one of us completes the whole migration round trip, it takes multiple generations.","Monarch butterflies that migrate south in the fall can live up to 8 months, far longer than the few weeks a typical summer generation survives.","Insect","Photo: Charles Patrick Ewing, CC BY 2.0, Wikimedia Commons"
"koala","Koala","Phascolarctos cinereus","https://upload.wikimedia.org/wikipedia/commons/4/49/Koala_climbing_tree.jpg","A koala climbing a eucalyptus tree trunk.","I sleep around 20 hours a day.","My diet is almost entirely eucalyptus leaves, which are toxic to most other animals.","I'm a tree-dwelling marsupial from Australia, often mistaken for a bear, even though I'm not one.","Koalas have fingerprints so similar to human fingerprints that they can be difficult to tell apart even under a microscope.","Mammal","Photo: Diliff (David Iliff), CC BY-SA 3.0, Wikimedia Commons"
"hedgehog","Hedgehog","Erinaceus europaeus, European hedgehog","https://upload.wikimedia.org/wikipedia/commons/a/aa/West_European_Hedgehog_%28Erinaceus_europaeus%291.jpg","A hedgehog walking through grass, covered in short spines.","When I feel threatened, I roll into a tight ball covered in spines.","I'm mostly active at night and spend the day sleeping in a nest of leaves.","I'm covered in thousands of short spines instead of fur on my back.","A hedgehog can have around 5,000 to 7,000 spines, and each one is a modified hair made of keratin, the same protein in human fingernails.","Mammal","Photo: Hrald, CC BY-SA 3.0, Wikimedia Commons"
"aardvark","Aardvark","Orycteropus afer, antbear","https://upload.wikimedia.org/wikipedia/commons/d/d4/Aardvark_%28Orycteropus_afer%29.jpg","An aardvark with a long snout and large ears, standing on all fours.","I dig burrows and come out mostly at night to feed.","My name comes from an Afrikaans word meaning 'earth pig,' even though I'm not related to pigs.","I use powerful claws and a long snout to break into termite mounds and eat with a sticky tongue.","Aardvarks can seal their nostrils shut to keep dust and insects out while digging or eating termites.","Mammal","Photo: Theo Kruse (Burgers' Zoo), CC BY-SA 4.0, Wikimedia Commons"
"clownfish","Clownfish","Amphiprion ocellaris, ocellaris clownfish","https://upload.wikimedia.org/wikipedia/commons/e/ee/Common_clown_fish_and_sea_anemone.jpg","An orange and white striped clownfish swimming among the tentacles of a sea anemone.","I live in a close partnership with a sea creature whose sting would hurt most other fish.","I'm immune to the stinging tentacles of the anemone I call home.","I'm orange with white stripes, and I was made famous by an animated movie about a lost fish.","Clownfish are all born male, and the largest, most dominant fish in a group changes into a female when needed.","Fish","Photo: Triniti14045, CC BY-SA 4.0, Wikimedia Commons"
"pufferfish","Pufferfish","blowfish","https://upload.wikimedia.org/wikipedia/commons/4/4c/Inflated_pufferfish.jpg","A fully inflated, spiky pufferfish floating in open water.","I can swallow huge amounts of water to make myself much bigger when threatened.","Many of my relatives contain a toxin many times more poisonous than cyanide.","When fully inflated, I look like a round, spiky ball floating in the water.","A pufferfish's stomach can stretch to many times its normal size in seconds, letting it balloon into a spiky sphere almost too big for predators to swallow.","Fish","Photo: Adedotun Ajibade (Dotun55), CC BY-SA 4.0, Wikimedia Commons"
"peacock","Peacock","peafowl, Indian peafowl, Pavo cristatus","https://upload.wikimedia.org/wikipedia/commons/f/fa/Peacock_side_profile.jpg","A peacock in side profile, showing its long, iridescent tail feathers.","Only the males of my species grow the famous, dramatic tail.","I fan out my long tail feathers covered in eye-like patterns to attract a mate.","I'm a large, colorful bird best known for my iridescent blue-green tail feathers.","A peacock's train feathers aren't its tail at all, they're long upper tail-covert feathers, and it can have over 200 of them.","Bird","Photo: Anup Hela, CC BY-SA 3.0, Wikimedia Commons"
"toucan","Toucan","Ramphastos toco, toco toucan","https://upload.wikimedia.org/wikipedia/commons/2/28/Toco_toucan_%28Ramphastos_toco%29_adult.JPG","A toco toucan perched on a branch, showing its huge orange beak.","My oversized beak is actually much lighter than it looks.","I use my huge, colorful beak to reach fruit at the end of thin branches.","I'm famous for my enormous orange beak, which can be nearly a third of my total body length.","A toucan's huge beak helps regulate its body temperature, acting almost like a built-in radiator to release excess heat.","Bird","Photo: Charles J. Sharp, CC BY-SA 4.0, Wikimedia Commons"
"leopard-gecko","Leopard Gecko","Eublepharis macularius, gecko","https://upload.wikimedia.org/wikipedia/commons/9/96/Afghan_Leopard_Gecko.jpg","A spotted leopard gecko resting on sandy ground.","Unlike most geckos, I have movable eyelids and can blink.","If a predator grabs my tail, I can drop it and grow a new one.","I'm a small, spotted lizard that's one of the most popular pet reptiles in the world.","Leopard geckos store extra fat in their tails, so a plump tail is usually a sign of a healthy, well-fed gecko.","Reptile","Photo: Brandon Downey, CC BY-SA 2.0, Wikimedia Commons"
"iguana","Iguana","Iguana iguana, green iguana","https://upload.wikimedia.org/wikipedia/commons/7/7e/Iguana_iguana_male_head.jpg","A close-up of a green iguana's head, showing its spines and dewlap.","I have a row of spines running down my back and a flap of skin under my chin.","I'm mostly herbivorous and spend much of my time basking in trees near water.","I'm a large, often green lizard, and I can drop into water and swim away if threatened.","Iguanas have a light-sensing 'third eye' on top of their heads that can detect changes in light and shadow, helping them spot predators from above.","Reptile","Photo: Ianaré Sévi, CC BY-SA 3.0, Wikimedia Commons"
"ladybug","Ladybug","ladybird, lady beetle","https://upload.wikimedia.org/wikipedia/commons/0/03/Ladybug_insect.jpg","A red ladybug with black spots resting on a green leaf.","Despite my name, I can be male or female.","My bright, spotted colors warn predators that I taste bad.","I'm a small, round beetle usually red or orange with black spots, and gardeners love me because I eat aphids.","When threatened, ladybugs can release a foul-smelling yellow fluid from their leg joints, a defense called reflex bleeding.","Insect","Photo: Nursa Sherli Yoanita, CC BY-SA 4.0, Wikimedia Commons"
"dragonfly","Dragonfly","Odonata","https://upload.wikimedia.org/wikipedia/commons/7/79/Dragon_Fly%2C_Duirell.JPG","A dragonfly perched on a twig, its transparent wings spread out.","I can fly in every direction, including straight backward and hovering in place.","Before I grew wings, I lived underwater as a fierce nymph for months or even years.","I'm an insect with two pairs of long, transparent wings and a slender, often colorful body.","Dragonflies have nearly 360-degree vision thanks to eyes made up of up to 30,000 individual lenses each.","Insect","Photo: Christophe95, CC BY-SA 3.0, Wikimedia Commons"
"sea-otter","Sea Otter","Enhydra lutris, otter","https://upload.wikimedia.org/wikipedia/commons/5/50/Sea_otters_holding_hands%2C_cropped.jpg","Two sea otters floating on their backs at the water's surface.","I often float on my back at the water's surface, sometimes holding hands with others of my kind so we don't drift apart while sleeping.","I use tools, like rocks, to crack open shellfish while floating.","I'm a marine mammal known for my thick, dense fur, the densest fur of any animal.","Sea otters have up to a million hairs per square inch of skin, the densest fur in the animal kingdom, which traps air to keep them warm since they lack blubber.","Marine","Photo: Joe Robertson, CC BY 2.0, Wikimedia Commons"
"tarsier","Tarsier","Western Tarsier, Tarsius bancanus","https://upload.wikimedia.org/wikipedia/commons/4/47/Western_Tarsier.jpg","A tiny tarsier clinging to a branch, its enormous eyes wide open at night.","Each of my eyeballs is bigger than my entire brain.","I can rotate my head almost 180 degrees in each direction to spot prey at night.","I'm a tiny nocturnal primate with enormous eyes and long fingers, found in Southeast Asian forests.","A tarsier's eyes are so large and fixed in their sockets that it can't roll them at all, its extreme head rotation makes up for it.","Mammal","Photo: Seshadri.K.S, CC BY-SA 4.0, Wikimedia Commons"
"capybara","Capybara","Hydrochoerus hydrochaeris","https://upload.wikimedia.org/wikipedia/commons/8/85/Capybara_portrait.jpg","A capybara resting calmly near the water's edge.","I'm the largest rodent in the world.","I'm extremely social and often seen lounging in groups near water.","I'm a large, calm, semi-aquatic rodent from South America, often shown relaxing with other animals riding on my back.","Capybaras are so comfortable in water that they can sleep while floating, and they're known to happily share space with birds, monkeys, and even caimans.","Mammal","Photo: Karoly Lorentey, CC BY 2.0, Wikimedia Commons"
"emperor-penguin","Emperor Penguin","Aptenodytes forsteri, penguin","https://upload.wikimedia.org/wikipedia/commons/c/ca/Manchot_empereur_-_Emperor_Penguin.jpg","An emperor penguin standing on Antarctic ice.","The males of my species incubate a single egg on their feet through the harshest part of the Antarctic winter.","I'm the largest of all penguin species.","I'm a flightless, black-and-white seabird that huddles together with thousands of others to survive extreme cold.","Male emperor penguins fast for around two months while incubating their egg, surviving entirely on stored fat reserves.","Bird","Photo: Samuel Blanc, CC BY-SA 3.0, Wikimedia Commons"
"puffin","Puffin","Atlantic puffin, Fratercula arctica","https://upload.wikimedia.org/wikipedia/commons/c/c4/Puffin_%28Fratercula_arctica%29.jpg","A puffin standing on a rocky cliff, showing its brightly colored beak.","I can carry a dozen or more small fish crosswise in my beak at once.","I spend most of the year out at sea and only come to land to breed in burrows.","I'm a small seabird with a brightly colored, triangular beak, often called the 'clown of the sea.'","A puffin's colorful beak actually fades in winter and grows a brighter outer layer again each breeding season.","Bird","Photo: Charles J. Sharp, CC BY-SA 4.0, Wikimedia Commons"
"chinchilla","Chinchilla","Chinchilla lanigera","https://upload.wikimedia.org/wikipedia/commons/f/f2/Chinchilla_lanigera.jpg","A soft gray chinchilla sitting upright.","I take dust baths instead of water baths to keep my fur clean.","My fur is so dense that up to 60 hairs can grow from a single hair follicle.","I'm a small, soft, gray rodent from the Andes mountains, and I have one of the densest furs of any land mammal.","A chinchilla's fur is so tightly packed that fleas can't survive in it, since there's no room for them to move around.","Mammal","Photo: Jaime E. Jimenez, CC BY, Wikimedia Commons"
"fennec-fox","Fennec Fox","Vulpes zerda, fox","https://upload.wikimedia.org/wikipedia/commons/f/f4/Fennec_Fox_Peek.jpg","A small fennec fox with large ears peeking out from behind a rock.","I have the largest ears relative to my body size of any fox.","My oversized ears help me radiate heat and hear prey moving underground in the desert.","I'm the smallest fox species in the world, with pale fur and huge ears, native to the Sahara.","A fennec fox's kidneys are so efficient that it can survive for long periods without ever drinking water, getting most of its moisture from food.","Mammal","Photo: Anass ERRIHANI, CC BY-SA 4.0, Wikimedia Commons"
"hawksbill-sea-turtle","Hawksbill Sea Turtle","Eretmochelys imbricata, sea turtle, turtle","https://upload.wikimedia.org/wikipedia/commons/3/39/Hawksbill_Sea_Turtle_%28Eretmochelys_imbricata%29.jpg","A hawksbill sea turtle swimming over a coral reef.","My narrow, pointed beak helps me reach into crevices on coral reefs to feed.","My shell has an overlapping, almost tile-like pattern of scutes.","I'm a critically endangered sea turtle named for my beak-like mouth, and I mostly eat sponges.","Hawksbill sea turtles can eat sponges that are toxic to most other animals, and they help keep coral reefs healthy by controlling sponge growth.","Marine","Photo: DRVIP93, CC BY-SA 4.0, Wikimedia Commons"
"jellyfish","Jellyfish","sea jelly","https://upload.wikimedia.org/wikipedia/commons/6/69/Frost_Science_Museum_Jellyfish.jpg","A translucent jellyfish drifting with its tentacles trailing behind.","I have no brain, no heart, and no bones, yet my kind has existed for more than 500 million years.","I'm made up of about 95 percent water.","I drift through the ocean with a soft, bell-shaped body and trailing tentacles that can sting.","Some jellyfish species are considered biologically immortal, able to reverse their aging process and revert to an earlier stage of life under stress.","Marine","Photo: JustPere, CC BY-SA 4.0, Wikimedia Commons"
"star-nosed-mole","Star-Nosed Mole","Condylura cristata, mole","https://upload.wikimedia.org/wikipedia/commons/e/ef/Condylura.jpg","A star-nosed mole showing the ring of fleshy tentacles around its nose.","I can identify and eat prey faster than the human eye can follow, in under a quarter of a second.","I spend most of my life underground or in water, and I'm nearly blind.","I have 22 fleshy, finger-like tentacles ringing my nose that I use to feel my way around and find food.","A star-nosed mole's nose has more touch receptors than a human hand, packed into an organ small enough to fit on a fingertip.","Mammal","Photo: US National Park Service, Public Domain, Wikimedia Commons"
